source_id,country,legacy_paths,likely_upstream,access_strategy,status,notes
ca.locations,CA,static_data/ca/locations.csv,Canada federal and/or Ontario meat-establishment registers,download/API or assisted export,source_candidate,Provenance needs separation between federal and Ontario inputs; old source files exist under Old CSVs/canada.
de.locations,DE,static_data/de/locations.csv,BVL BLtU approved-establishments database,download or browser-assisted export,source_candidate,Current legacy file is large and contains repeated establishment-ID groups.
dk.smiley,DK,static_data/dk/locations.csv;static_data/dk/Smiley_xml.xml,Fødevarestyrelsen Find Smiley bulk data,XML download,source_candidate,Prefer the official bulk XML/Excel endpoint over scraping detail pages.
es.locations,ES,static_data/es/locations.csv;static_data/es/locations.csv.backup,Spanish competent-authority approved-establishment register,download or assisted export,source_candidate,Exact current authority and payload still need confirmation.
fr.locations,FR,static_data/fr/locations.csv;france-data.kml,French DGAL approved-establishment lists,downloaded spreadsheet/text/KML,source_candidate,Prefer current DGAL list files and retain the raw file used for each run.
it.853-2004,IT,dirty-datasets/it/italy_locations.csv;Old CSVs/italian_facilities.csv,Italian Ministry of Health 853/2004 establishments,catalog-discovered CSV,source_candidate,Private catalog acquisition and lifecycle implemented; repeated activity identity, privacy, and publication review remain open.
it.1069-2009,IT,,Italian Ministry of Health 1069/2009 animal by-products establishments,catalog-discovered CSV,implemented_partial,2026-09-24 one-command live private E2E and exact-run replay pass; 9955 observations accepted; coordinate claim anomalies rejected separately; no merge with 853/2004; IODL v2.0 attribution and OSM coordinate caveat recorded; privacy and publication review remain open.
mx.locations,MX,static_data/mx/locations.csv;Old CSVs/mexico, Mexican official registers and INEGI-derived work,download/API or assisted export,source_candidate,Separate official source records from derived aquaculture research files.
nz.locations,NZ,static_data/nz/locations.csv,New Zealand MPI approved premises/registers,download/API,source_candidate,MPI country listings expose identifier, address, processes, species, and expiry fields.
uk.locations,GB,static_data/uk/locations.csv;static_data/uk/locations.csv.backup,Food Standards Agency approved food establishments,monthly CSV download,source_candidate,Current FSA publication is split across England/Wales, Northern Ireland, and Scotland.
us.fsis,US,static_data/us/locations.csv,USDA FSIS MPI directory and supplemental establishment-demographic data,operator-assisted official CSV export; bounded direct fetch with terms review,implemented_partial,Current route verified; direct links returned 403, so acquire an authorized edition and preserve per-file provenance, exact-key reconciliation, schema/drift/privacy review before test-only handoff.
us.aphis,US,static_data/us/aphis_data_final.csv,USDA APHIS Animal Care Public Search Tool,operator-assisted profile-explicit export,implemented_partial,Registrations, annual reports, inspections, laboratories, and aggregate summaries remain separate evidence types.
us.inspections,US,static_data/us/inspection_reports.csv,USDA APHIS inspection-reports public search,operator-assisted inspection export,implemented_partial,Inspection reports are observations, not facility master records; use explicit reviewable identity links only.
nl.nvwa.approved-food,NL,,NVWA approved food establishment lists,public control XML plus SOAP POST,source_candidate,Recognition/activity observations retained separately; implement SOAP and review terms/privacy before release.
nl.nvwa.welfare-enforcement,NL,,NVWA welfare and compliance publications,official HTML/PDF retrieval,source_candidate,2025 summary and 2024 detailed period are evidence observations; not a facility master.
nl.cokz.dairy-eggs,NL,,COKZ dairy and egg registers,official HTML registers,source_candidate,Separate delegated regulator register family; terms and overlap with NVWA require review.
nl.rvo.ir,NL,,RVO I&R services,authorized web service,source_candidate,Restricted UBN/location/animal data; no public scrape or exposure.
nl.kvk.hvds,NL,,KVK business identity APIs,public open dataset or subscribed API,source_candidate,Identity/link evidence only; privacy and API terms remain gates.
nl.cbs.slaughter,NL,,CBS table 7123slac,public OData API,source_candidate,Monthly aggregate slaughter counts/weight; never create facility rows.
nl.cbs.livestock,NL,,CBS table 84952NED,public OData API,source_candidate,Twice-yearly aggregate livestock counts; agricultural-business scope only.
eu.eurostat.nl-slaughter,NL,,Eurostat apro_mt_pann,public dissemination JSON API,source_candidate,EU aggregate mirror; keep separate from CBS and NVWA.
nl.pdok.omgevingswet,NL,,PDOK/DSO omgevingsdocumenten,public OGC API and DSO APIs,source_candidate,Document/geometry evidence; no national animal-facility master.
nl.koop.local-permits,NL,,KOOP/Overheid.nl official publications,collection-specific SRU CQL,source_candidate,Daily official publication surface with local coverage variation; initial query returned diagnostic.
eu.traces.approved-establishments,NL,,European Commission TRACES/IMSOC,publication surface/national links,source_candidate,EU mirror context only; never double-count national NVWA observations.
